index,instrument_name,instrument_type,is_active,tick_size,option_type,strike,expiry,minimum_amount,amount_step,maker_fee_rate,taker_fee_rate,ask_price,ask_size,bid_price,bid_size,market_price,delta,gamma,vega,theta,iv,mark,ts
BTC-USD,BTC-20260424-68000-P,option,True,1,P,68000.0,20260424,0.01,1e-05,0.0001,0.0003,7184.0,1.0,6984.0,2.0,64014.0,-0.59076,3.324e-05,96.46272,-41.28121,0.46982,6954.0,1772274861137
BTC-USD,BTC-20260424-68000-C,option,True,1,C,68000.0,20260424,0.01,1e-05,0.0001,0.0003,3399.0,1.0,3206.0,2.0,64014.0,0.40923,3.324e-05,96.46268,-41.28122,0.46982,3104.0,1772274864471
BTC-USD,BTC-20260424-66000-P,option,True,1,P,66000.0,20260424,0.01,1e-05,0.0001,0.0003,6006.0,1.0,5805.0,2.0,64014.0,-0.52385,3.328e-05,98.85974,-43.31694,0.48104,5809.0,1772274864875
BTC-USD,BTC-20260424-66000-C,option,True,1,C,66000.0,20260424,0.01,1e-05,0.0001,0.0003,4196.0,2.0,4001.0,2.0,64014.0,0.47614,3.328e-05,98.85974,-43.31694,0.48104,3955.0,1772274864268
BTC-USD,BTC-20260424-65000-P,option,True,1,P,65000.0,20260424,0.01,1e-05,0.0001,0.0003,5485.0,1.0,5296.0,2.0,64014.0,-0.49024,3.283e-05,99.00721,-44.03046,0.48823,5300.0,1772274861438
BTC-USD,BTC-20260424-65000-C,option,True,1,C,65000.0,20260424,0.01,1e-05,0.0001,0.0003,4669.0,2.0,4470.0,1.0,64014.0,0.50975,3.283e-05,99.00722,-44.03045,0.48823,4444.0,1772274860327
BTC-USD,BTC-20260424-64000-P,option,True,1,P,64000.0,20260424,0.01,1e-05,0.0001,0.0003,4991.0,1.0,4803.0,2.0,64014.0,-0.4571,3.212e-05,98.46373,-44.51894,0.49637,4832.0,1772274863662
BTC-USD,BTC-20260424-64000-C,option,True,1,C,64000.0,20260424,0.01,1e-05,0.0001,0.0003,5191.0,2.0,4972.0,1.0,64014.0,0.54289,3.212e-05,98.46375,-44.51893,0.49637,4973.0,1772274861034
BTC-USD,BTC-20260424-62000-P,option,True,1,P,62000.0,20260424,0.01,1e-05,0.0001,0.0003,4122.0,1.0,3932.0,1.0,64000.0,-0.39403,3.003e-05,95.50188,-44.80583,0.51507,4016.0,1772274860126
BTC-USD,BTC-20260424-62000-C,option,True,1,C,62000.0,20260424,0.01,1e-05,0.0001,0.0003,6343.0,2.0,6070.0,2.0,64014.0,0.60637,3.002e-05,95.49481,-44.80256,0.51507,6148.0,1772274865177
BTC-USD,BTC-20260424-60000-P,option,True,1,P,60000.0,20260424,0.01,1e-05,0.0001,0.0003,3358.0,1.0,3180.0,1.0,64014.0,-0.33543,2.732e-05,90.4867,-44.20024,0.53627,3324.0,1772274862616
BTC-USD,BTC-20260424-60000-C,option,True,1,C,60000.0,20260424,0.01,1e-05,0.0001,0.0003,7576.0,3.286,7308.0,1.0,64014.0,0.66456,2.732e-05,90.4867,-44.20024,0.53627,7458.0,1772274862145
BTC-USD,BTC-20260424-55000-P,option,True,1,P,55000.0,20260424,0.01,1e-05,0.0001,0.0003,1993.0,1.0,1845.0,1.0,64014.0,-0.21743,1.984e-05,73.01013,-39.6306,0.59592,2067.0,1772274864066
BTC-USD,BTC-20260424-55000-C,option,True,1,C,55000.0,20260424,0.01,1e-05,0.0001,0.0003,11369.0,1.0,10798.0,2.0,64000.0,0.78229,1.985e-05,73.04697,-39.65056,0.59592,11179.0,1772274859924
BTC-USD,BTC-20260424-50000-P,option,True,1,P,50000.0,20260424,0.01,1e-05,0.0001,0.0003,1221.0,2.94595,1065.0,2.94595,64014.0,-0.13557,1.325e-05,54.0569,-32.52389,0.66053,1264.0,1772274864268
BTC-USD,BTC-20260424-50000-C,option,True,1,C,50000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,0.86442,1.325e-05,54.0569,-32.52389,0.66053,15378.0,1772274864773
BTC-USD,BTC-20260424-40000-P,option,True,1,P,40000.0,20260424,0.01,1e-05,0.0001,0.0003,540.0,3.29,354.0,3.29,64021.0,-0.04646,4.89e-06,24.1482,-17.56388,0.79851,429.0,1772274866491
BTC-USD,BTC-20260424-40000-C,option,True,1,C,40000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,0.95353,4.89e-06,24.14818,-17.56388,0.79851,24530.0,1772274868006
BTC-USD,BTC-20260424-260000-P,option,True,1,P,260000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,-0.99999,0.0,0.0001,-6e-05,0.67117,195461.0,1772274868308
BTC-USD,BTC-20260424-260000-C,option,True,1,C,260000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,0.0,0.0,0.0001,-6e-05,0.67117,0.0,1772274868410
BTC-USD,BTC-20260424-240000-P,option,True,1,P,240000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,-0.99999,0.0,0.00049,-0.0003,0.67117,175501.0,1772274865379
BTC-USD,BTC-20260424-240000-C,option,True,1,C,240000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,0.0,0.0,0.00049,-0.0003,0.67117,0.0,1772274866087
BTC-USD,BTC-20260424-220000-P,option,True,1,P,220000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,-0.99999,0.0,0.00246,-0.0015,0.67117,155541.0,1772274865683
BTC-USD,BTC-20260424-220000-C,option,True,1,C,220000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,0.0,0.0,0.00246,-0.0015,0.67117,0.0,1772274865785
BTC-USD,BTC-20260424-200000-P,option,True,1,P,200000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,-0.99998,0.0,0.01243,-0.0076,0.67117,135580.0,1772274866289
BTC-USD,BTC-20260424-200000-C,option,True,1,C,200000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,1e-05,0.0,0.01243,-0.0076,0.67117,0.0,1772274866897
BTC-USD,BTC-20260424-180000-P,option,True,1,P,180000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,-0.99993,1e-08,0.06371,-0.03895,0.67117,115620.0,1772274867905
BTC-USD,BTC-20260424-180000-C,option,True,1,C,180000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,6e-05,1e-08,0.06371,-0.03895,0.67117,0.0,1772274866188
BTC-USD,BTC-20260424-160000-P,option,True,1,P,160000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,-0.99963,7e-08,0.32598,-0.19929,0.67117,95661.0,1772274866291
BTC-USD,BTC-20260424-160000-C,option,True,1,C,160000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,0.00036,7e-08,0.32598,-0.19929,0.67117,1.0,1772274865279
